createDate,taskName,accTotal,shotsTotal,killsPerSec,killTotal
2/21/2023 9:11,gridshot,78.16092,261,3.40540886,204
2/21/2023 9:10,gridshot,88.75502,249,3.68925452,221
2/21/2023 5:36,gridshot,87.69231,260,3.80608535,228
2/20/2023 10:09,gridshot,85.82375,261,3.73910713,224
2/20/2023 10:02,gridshot,81.64794,267,3.638942,218
2/20/2023 9:04,gridshot,80,265,3.53885555,212
2/20/2023 9:02,gridshot,89.8373947,246,3.68925667,221
2/20/2023 9:01,gridshot,88.30645,248,3.65572381,219
2/20/2023 8:59,gridshot,83.203125,256,3.55558467,213
2/20/2023 8:58,gridshot,90.07937,252,3.78916669,227
2/20/2023 8:56,gridshot,86.6666641,255,3.689131,221
2/20/2023 8:54,gridshot,94.5833359,240,3.78926444,227
2/20/2023 8:34,gridshot,90.49774,221,3.33858323,200
2/19/2023 8:11,gridshot,82.94573,258,3.57241964,214
2/19/2023 7:14,gridshot,87.90323,248,3.63900471,218
2/19/2023 7:13,gridshot,89.95984,249,3.73934913,224
2/19/2023 7:12,gridshot,85.2589645,251,3.57232761,214
2/19/2023 7:11,gridshot,78.21011,257,3.35533261,201
2/19/2023 7:07,gridshot,89.74359,234,3.50548887,210
2/19/2023 6:32,gridshot,85.09804,255,3.62237453,217
2/19/2023 6:30,gridshot,92.68293,246,3.80601645,228
2/19/2023 6:20,gridshot,88.8,250,3.705855,222
2/19/2023 6:13,gridshot,90.98712,233,3.53897858,212
2/18/2023 9:19,gridshot,85.47718,241,3.4387846,206
2/17/2023 9:09,gridshot,90.6383,235,3.555585,213
2/17/2023 8:59,gridshot,84.5493546,233,3.288597,197
11/24/2022 7:25,gridshot,87.89238,223,3.27179241,196
11/24/2022 7:24,gridshot,95.8115158,191,3.05472183,183
5/23/2022 21:48,gridshot,87.8640747,206,3.021419,181
5/21/2022 22:28,gridshot,87.5576,217,3.17168355,190
3/15/2022 8:39,gridshot,80.2281342,263,3.522296,211
3/15/2022 8:37,gridshot,87.64941,251,3.66039181,220
3/4/2022 11:36,gridshot,87.5,240,3.50557065,210
3/4/2022 11:35,gridshot,85.31746,252,3.58899665,215
3/4/2022 10:24,gridshot,85.60311,257,3.67236781,220
3/4/2022 10:23,gridshot,86.746994,249,3.605608,216
3/4/2022 10:22,gridshot,86.90476,252,3.65583539,219
3/4/2022 10:19,gridshot,89.71194,243,3.639042,218
3/4/2022 10:18,gridshot,85.29411,238,3.388708,203
3/4/2022 10:17,gridshot,89.87341,237,3.555719,213
3/4/2022 10:16,gridshot,84.67742,248,3.505572,210
3/4/2022 10:14,gridshot,85.2,250,3.55571365,213
3/4/2022 10:13,gridshot,90.2834,247,3.72248435,223
3/4/2022 10:12,gridshot,84.27419,248,3.48881865,209
3/4/2022 10:10,gridshot,88.0165253,242,3.55574179,213
3/3/2022 22:57,gridshot,74.77477,222,2.770968,166
3/3/2022 13:18,gridshot,76.6949158,236,3.021412,181
3/3/2022 13:17,gridshot,81.78137,247,3.37200165,202
3/3/2022 12:28,gridshot,75.21368,234,2.937983,176
3/3/2022 12:20,gridshot,84,225,3.15491962,189
3/3/2022 12:18,gridshot,84.46602,206,2.904681,174
